"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 19","16.77","17.04","17.20","16.73","452.93M","-3.51%"
"2023- 01- 18","17.38","17.67","17.87","17.28","439.62M","-1.81%"
"2023- 01- 17","17.70","16.90","17.73","16.90","511.10M","4.73%"
"2023- 01- 13","16.90","16.28","16.92","16.16","447.29M","2.36%"
"2023- 01- 12","16.51","16.10","16.64","15.49","551.41M","3.19%"
"2023- 01- 11","16.00","15.84","16.03","15.56","353.28M","0.57%"
"2023- 01- 10","15.91","15.51","15.96","15.47","384.10M","1.79%"
"2023- 01- 09","15.63","15.28","16.06","15.14","504.23M","5.18%"
"2023- 01- 06","14.86","14.47","15.01","14.03","405.04M","4.13%"
"2023- 01- 05","14.27","14.49","14.56","14.15","389.17M","-3.25%"
"2023- 01- 04","14.75","14.57","14.85","14.24","431.32M","3.07%"
"2023- 01- 03","14.31","14.85","15.00","14.10","401.28M","-2.05%"
"2022- 12- 30","14.61","14.33","14.63","14.23","310.49M","0.07%"
"2022- 12- 29","14.60","14.40","14.68","14.23","354.92M","3.99%"
"2022- 12- 28","14.04","13.93","14.26","13.88","351.07M","-0.57%"
"2022- 12- 27","14.12","15.07","15.10","14.06","464.90M","-7.17%"
"2022- 12- 23","15.21","15.20","15.34","14.88","349.33M","-0.85%"
